Field Name,Occurences,Sample Value 1,Sample Value 2,Sample Value 3,Sample Value 4,Sample Value 5
dc.identifier,4,http://www.canadainternational.gc.ca/united_kingdom-royaume_uni/media/newsletter-canada_plus-bulletin_nouvelles_03_2013.aspx?lang=eng,http://www.canadainternational.gc.ca/indonesia-indonesie/newsletter-bulletin/2017-08-newsletter-bulletin-01.aspx?lang=eng,http://www.canadainternational.gc.ca/mexico-mexique/offices-bureaux/2020-MX05.aspx?lang=eng,http://www.canadainternational.gc.ca/united_kingdom-royaume_uni/offices-bureaux/2016-01-EHM.aspx?lang=eng,
dc.language,444,fra,fre,en,EN,eng
dc.publisher,213,"Innovation, Sciences et Développement économique Canada","Government of Canada, Canada Border Services Agency, Communications","Innovation, Science and Economic Development Canada","Government of Canada, National Defence, Canadian Defence Academy",
dc.spatial.country,17,Canada,,,,
dc.subject,370,aerospace industry;aircraft;air transport industry;defence industry;industrial technology;sciences,Canadian Military Journal,businesses;entrepreneurship,financial statements;comptrollership;financial management;governance;planning;Public Accounts;public finance,transport industry
dc.subject.category,58,Information Management and Technology,,,,
dc.title,392,Improving Robot-Environment Interaction,Reserve Employment Opportunity - O-45146 - Readiness Training Officer,Logistics and Resource Management of Emergency Response Assets,Life Sign Monitoring System (LSMS),COVID-19 Challenge — Point of Care and Home Diagnostic Kit for COVID-19
dc.type,274,Media Releases,Audit Reports,Landing Pages,Performance Reports,Legislation and Regulations;Service or Program Descriptions
dc.type.infoCategory,18,,,,,
dc:title,6100,Canada Emergency Response Benefit to Launch on April 6 - Canada.ca,Canada Emergency Response Benefit - Canada.ca,Coronavirus disease (COVID-19) – Benefits and services - Canada.ca,Canada’s COVID-19 Economic Response Plan - Canada.ca,Apply for Canada Emergency Response Benefit (CERB) with CRA - Canada.ca
dcterms.Date,10,20020808,2005-06-22,2007-06-22,20020822,20030716
dcterms.Description,10,ARCHIVED - DENIED - Proposal to implement simultaneous substitution on a regional basis across Quebec,ARCHIVED -  APPROVED - Change in the effective control of The Canadian Documentary Channel (Assets),ARCHIVED - Access to information contained in the incumbent local exchange carriers' Emergency 9-1-1 databases for the purpose of providing a Community Notification Service,ARCHIVED -  Flex Bundles - SmartTouch services and maintenance plans,ARCHIVED - APPROVED / DENIED - Applications for commercial radio stations to serve Winnipeg
dcterms.Source,8,,,,,
dcterms.Title,10,ARCHIVED - Applications for commercial radio stations to serve Winnipeg,ARCHIVED - Proposal to implement simultaneous substitution on a regional basis across Quebec,ARCHIVED - Access to information contained in the incumbent local exchange carriers' Emergency 9-1-1 databases for the purpose of providing a Community Notification Service,ARCHIVED - Change in the effective control of The Canadian Documentary Channel (Assets),ARCHIVED - Flex Bundles - SmartTouch services and maintenance plans
dcterms.accessRights,144,2,,,,
dcterms.activity,2,Budget,,,,
dcterms.audience,976,general public,government,aboriginal peoples; general public,"Aboriginal peoples,business,employers,funding applicants,general public,government,job seekers,media,persons with disabilities,students,women",aboriginal peoples; funding applicants; government
dcterms.content-type,16,guidance,international treaties,education and awareness,consultations,research
dcterms.content.provider,23,AARTT,AARTA 00000000,ASRS 15299871,rail transport,AEAD 14309137
dcterms.contributor,14,NRC Communications Branch,,,,
dcterms.coverage,21,Canada,,,,
dcterms.coverage.spatial,1,Canada,,,,
dcterms.created,212,2010-05-01,2012-06-20,2013-06-21,2014-09-02,2004-02-25
dcterms.creator,5388,Public Health Agency of Canada,Department of Finance Canada,Service Canada,Canada Revenue Agency,Employment and Social Development Canada
dcterms.date,8,2007-10-25,2008-06-10,2007-11-01,2002-05-30,2004-07-14
dcterms.date.created,6,1993-08-30,1994-09-16,1994-10-20,1993-07-23,1995-03-24
dcterms.date.modified,6,1993-08-30,1994-09-16,1994-10-20,1993-07-23,1995-03-24
dcterms.description,2785,Learn more about Canada’s actions to help Canadians and businesses facing hardship as a result of the COVID-19 outbreak.,"Apply for the Canada Emergency Response Benefit (CERB) with the CRA: who is eligible, how to apply, when to apply, and what to expect after applying.","Information and updates about coronavirus in the workplace, in the Service Canada Centres and how it affects ESDC programs such as EI.","The Government of Canada is continuing to take strong, immediate and effective action to support Canadians impacted by the global COVID-19 pandemic. ","COVID-19 support for individuals , Canada Emergency Response Benefit"
dcterms.format,197,text/html,HTML,,,
dcterms.identifier,1722,Service_Canada,Canada_Revenue_Agency,Department_of_Finance_Canada,Employment_and_Social_Development_Canada,Public_Health_Agency_of_Canada
dcterms.issued,5584,2020-04-23,2020-04-01,2020-04-22,2020-04-24,2020-04-21
dcterms.keywords,11,"severe acute respiratory syndrome, sars, coronavirus, corona virus, infection control, personal hygiene practices, ppe, respiratory protective equipment, respirator, respirators, surgical mask, disease prevention","governor general,canada,rideau hall,vice regal,head of state,government,canadian honours system,order of canada,order of military merit,decorations for bravery,medal of bravery,star of courage,cross of valour,meritorious service decorations,meritorious service medal,meritorious service cross,caring canadian award,exemplary service medal,academic medal,governor general awards,eduzone,heraldry,canadian heraldic authority,gg,david l johnston,david johnston,sharon johnston,stephen wallace,gov gen,office of the ",,,
dcterms.language,5452,eng-ISO639-2,eng / fra,en,EN,eng
dcterms.modifed,26,2017-03-06,2012-05-09,2016-03-04,yyyy-mm-dd,2018-04-16
dcterms.modified,5555,2020-04-23,2020-04-22,2020-04-03,2020-04-24,2020-04-21
dcterms.publisher,498,Canadian Radio-television and Telecommunications Commission,"Government of Canada, Public Works and Government Services Canada, Integrated Services Branch, Canada Gazette","Government of Canada, Canadian Radio-television and Telecommunications Commission (CRTC)","Government of Canada, Public Works and Government Services Canada, Consulting, Information and Shared Services Branch, Canada Gazette",Industry Canada
dcterms.relation.hasversion,1,/fr/dpe/rapports/2010/investissements-publics/page17.shtml,,,,
dcterms.service,171,GAC-AMC_Web,OCI-BEC,BAC-LAC,PSPC-SPAC_GCPublications,ca
dcterms.source,1406,gcnws,aem,,,
dcterms.spatial,1802,Canada,Canada;Ontario;Ottawa,Canada;China;Japan,Canada;Australia;Brazil;Chile;Colombia;Costa Rica;Hong Kong;Japan;Malawi;Mexico;New Zealand;Paraguay;Peru;Qatar;Republic of Korea (South Korea);Singapore;Switzerland;Ukraine;United Kingdom;United States of America;Uruguay,Canada;Atlantic;Nova Scotia;Cape Breton
dcterms.subject,4582,EC Economics and Industry;Benefits,"EC Economics and Industry,ET Education and Training,GV Government and Politics,LB Labour,PE Persons,PR Processes,Insurance;Employment insurance","EC Economics and Industry;Finance,Financial assistance,Debt,Employment,Taxes,,HE Health and Safety;Diseases,Income,Industry,Emergency relief,Economy",HE Health and Safety;Diseases,IN Information and Communications
dcterms.title,5455,Canada Emergency Response Benefit,Coronavirus disease (COVID-19) – Benefits and services,Canada Emergency Response Benefit to Launch on April 6,Canada’s COVID-19 Economic Response Plan,Apply for Canada Emergency Response Benefit (CERB) with CRA
dcterms.tp,2,TP 185,,,,
dcterms.type,1675,notices,navigation page,financial material,news releases,campaigns;navigation page
dcterms.valid,1,2022-06-20,,,,
dcterms.year,103,2019,2018,2016,1993-,2020
dcterms:accessRights,877,2,,,,
dcterms:audience,50,business,scientists,students;scientists;educators,scientists;business,
dcterms:creator,94,Agriculture and Agri-Food Canada,Lethbridge Research Centre;Agriculture and Agri-Food Canada;Government of Canada,Treasury Board of Canada Secretariat,Agriculture and Agri-Food Canada;Government of Canada,"Government of Canada,  Office of the Procurement Ombudsman"
dcterms:description,60,"These Ministerial briefing books were prepared for the Minister of Agriculture and Agri-Food Canada sworn in on March 1, 2019.Some sections of these materials have been redacted based on the. 10,9. 0,6. Primary Agriculture. 18,5. 1,1. Food and Beverage Processing. 1941. 1951. 1956. 1961. 1966.","The Department of Agriculture and Agri-Food was created in 1868 – one year after Confederation – because of the importance of agriculture to the economic, social and cultural development of Canada. Today, the Department helps create the conditions for the long-term profitability, sustainability and adaptability of the Canadian agricultural sector. Agriculture and Agri-Food Canada supports the sector through initiatives that promote innovation and competitiveness, and that proactively manage risk. The Depart",2013-14 Departmental Performance Report 2013–14 Departmental Performance Report. Sub-Program 2.3.2: Market Growth. Sub-Sub-Program 2.3.2.1: Market Development. Program 3.3: Rural and Co-operatives Development.,"Stay up-to-date on Agriculture and Agri-Food Canada's programs and services, and receive quarterly industry, markets, trade, science and innovation information. Agri-info will also be used to issue timely updates and important notices.","Alternative Formats. International Standard Serial Number: 2292-1524. Sub-Program 2.1.6: Federal-Provincial-Territorial Cost-shared Environment. Agriculture and Agri-Food Canada provides leadership in the growth and development of a competitive, innovative and sustainable Canadian agriculture and agri-food sector.Responsibilities."
dcterms:format,50,text/html,,,,
dcterms:issued,65,2016-07-12,2015-01-15,2019-05-17,2016-01-25,2018-05-07
dcterms:language,98,eng,,,,
dcterms:minister,76,"Hon. Carla Qualtrough,Hon. Diane Lebouthillier,Hon. Jean-Yves Duclos",Hon. Mona Fortier,Hon. Mélanie Joly,Hon. Bernadette Jordan,"Hon. William Francis Morneau,Hon. Mary Ng,Hon. Navdeep Singh Bains"
dcterms:modified,74,2020-03-03,2016-08-30,2019-05-17,2018-06-04,2016-01-25
dcterms:service,1008,SPAC-PSPC_PLD-PAG,JUS-Laws_Lois,AAFC-AAC,CIAR-RCEI,OPO-BOA
dcterms:spatial,67,Canada,,,,
dcterms:subject,57,architectural heritage;architecture;isolated communities,statistics;architectural heritage;architecture,agricultural technology;agricultural assistance;agri-food industry,architectural heritage;architecture;statistics,government publications;government information;agricultural policy
dcterms:title,98,What We Heard – Emergency Management in Canada's Agriculture Sector,Livestock Market Interruption Strategy - Helping the Livestock Industry and Governments Get Prepared,2014-15 Departmental Performance Report,Seventeenth meeting of the Grains Roundtable: Record of decision,Agri-info Newsletter
dcterms:type,50,presentation,geospatial material,sound,report,abstract
description,5207,Learn more about Canada’s actions to help Canadians and businesses facing hardship as a result of the COVID-19 outbreak.,"Apply for the Canada Emergency Response Benefit (CERB) with the CRA: who is eligible, how to apply, when to apply, and what to expect after applying.","Information and updates about coronavirus in the workplace, in the Service Canada Centres and how it affects ESDC programs such as EI.","The Government of Canada is continuing to take strong, immediate and effective action to support Canadians impacted by the global COVID-19 pandemic. ","COVID-19 support for individuals , Canada Emergency Response Benefit"
discipline,1,Life Sciences Related to Human Health and Disease,,,,
dnd.date.nextReviewDate,16,YYYY-MM-DD,2013-08-27,2016-10-21,2012-05-16,2016-06-14
dnd.identifier.docid,18,,,,,
dnd.securityMarking.classification,18,UNCLASSIFIED,,,,
dnd.status,18,,,,,
dnd.status.version,18,,,,,
document.contentEncoding,4440,ISO-8859-1,UTF-8,windows-1252,,
document.contentFamily,6101,html,,,,
document.contentType,6101,text/html,,,,
document.reference,6101,https://www.canada.ca/en/employment-social-development/news/2020/04/canada-emergency-response-benefit-to-launch-on-april-6.html,https://www.canada.ca/en/department-finance/economic-response-plan.html,https://www.canada.ca/en/services/benefits/ei/cerb-application.html,https://www.canada.ca/en/employment-social-development/corporate/notices/coronavirus.html,https://www.canada.ca/en/revenue-agency/services/benefits/apply-for-cerb-with-cra.html
eic.rate,179,,,,,
embeddedResourceType,6,INLINE,,,,
expires,2,-1,,,,
fb:admins,1,100004211408769,,,,
fb:app_id,282,1909567142706283,533670243330291,,,
fb:pages,1394,"378967748836213, 160339344047502, 184605778338568, 237796269600506, 10860597051, 14498271095, 209857686718, 160504807323251, 111156792247197, 113429762015861, 502566449790031, 312292485564363, 1471831713076413, 22724568071, 17294463927, 1442463402719857, 247990812241506, 730097607131117, 1142481292546228, 1765602380419601, 131514060764735, 307780276294187, 427238637642566, 525934210910141, 1016214671785090, 192657607776229, 586856208161152, 1146080748799944, 408143085978521, 490290084411688, 163828286987751",,,,
file_number,2,XXX,,,,
format-detection,177,telephone=no,,,,
gc.description.Long,7,"Sets a strategic direction and provides authority to reform administrative management and the role of common service organizations to create a more streamlined, efficient and responsive public service.",Assists directors and managers in implementing the government’s policy and directives related to materiel management and management of light-duty vehicles.,"The Directive on Government Contracts, Including Real Property Leases, in the Nunavut Settlement Area ensures that government contracting in the Nunavut Settlement Area will meet the Government of Canada’s obligations under Article 24 of the Nunavut Agreement.","Enables mobility between the core public administration and organizations in the private, public and not‑for‑profit sectors in Canada and abroad to support job enrichment, talent management and skills exchange.","Requirements for the design, construction, installation, inspection, testing and maintenance of fire alarm systems."
gc.institution,17,Government of Canada,,,,
gcterms.activityLocation,4,,,,,
gcterms.topic,179,Financing;Operations and Administration,"Government, Policy and Law;Operations and Administration",Industries and Products,Operations and Administration,Business
gcterms.topicTaxonomy,80,CIRNAC / ISC > Regional Offices,CIRNAC / ISC > Topics > About Indigenous and Northern Affairs Canada > Activities and responsibilities > Transfer Payments > Transfer Payments - Terms and Conditions > Terms and conditions for CIRNAC and ISC  transfer payments,CIRNAC / ISC > Regional Offices > Ontario Region > Publications,"CIRNAC / ISC > Topics > Consultation, engagement and the duty to consult > Consultation and engagement at Crown-Indigenous Relations and Northern Affairs Canada and Indigenous Services Canada > Comprehensive funding agreement model:  Engagement 2018","CIRNAC / ISC > Topics > Consultation, engagement and the duty to consult > Consultation and engagement at Crown-Indigenous Relations and Northern Affairs Canada and Indigenous Services Canada > Family Homes on Reserves and Matrimonial Interests or Rights Act: Engagement 2017-2018"
generator,89,WordPress.com,WordPress 5.3.2,Drupal 8 (https://www.drupal.org),Powered by WPBakery Page Builder - drag and drop page builder for WordPress.,Drupal 8 (https://drupal.org)
geo.placename,2,"Ottawa, Ontario","Biarritz, France",,,
google-site-verification,151,UA-3026813-28,PpjDVVDFf2LdXKJvsaEdZFRliPMrknoxN0p8cEjmPkQ,PRqeEWB3J0t90cukf7xZ-yeNF6ISzzOexIwlIcwGSZ0,7vqFrmpbqyQt4NYCWf9BhwXcppPBNi6rjOVqyfsrlsw,KEnijyZvWNaJ_ED3usIuxp0mpPtAGdetjY_pD3Xjtg0
googlebot,43,noarchive,nosnippet,,,
granting_council,1,Canadian Institutes of Health Research,,,,
h2,5119,On this page,Eligibility criteria for CERB have changed,Who can apply,How to apply,You cannot apply for the CERB with CRA if you already applied through Service Canada
height,6,16,339,,,
host,15,prd.cpd.ic.gc.ca,intellect.ic.gc.ca,,,
iTXt iTXtEntry,1,"keyword=Comment, compressionFlag=false, compressionMethod=0, languageTag=, translatedKeyword=, text=Created with GIMP",,,,
ice.dcr,4,Y:\dfait-maeci\main\internet-internet\ci-ci\indonesia-indonesie\WORKAREA\content-contenu\templatedata\pages-pages\generic-generique\data\newsletter-bulletin\2017-08-newsletter-bulletin-01,Y:\dfait-maeci\main\internet-internet\ci-ci\united_kingdom-royaume_uni\WORKAREA\content-contenu\templatedata\pages-pages\generic-generique\data\media\newsletter-canada_plus-bulletin_nouvelles_03_2013,Y:\dfait-maeci\main\internet-internet\ci-ci\mexico-mexique\WORKAREA\content-contenu\templatedata\pages-pages\generic-generique\data\offices-bureaux\2020-MX05,Y:\dfait-maeci\main\internet-internet\ci-ci\united_kingdom-royaume_uni\WORKAREA\content-contenu\templatedata\pages-pages\generic-generique\data\offices-bureaux\2016-01-EHM,
instrumentversion,8,Rescinded,Current,Archived,,
instrumentversionid,8,3,7,261,,
iwovpath,1,/hrsdc-rhdsc/main/IntERnet/ecd-elcc_dpe-agje/WORKAREA/ecd-elcc_dpe-agje/templatedata/ecd-elcc_dpe-agje/generic/data/docs/ecd-elcc_dpe-agje/en/ecd/reports/2010/public-investments/page17,,,,
keywords,3337,"COVID-19, coronavirus, Economic Response Plan, individuals, families, income, indigenous peoples, seniors, students, businesses, employers, employees, layoffs, reduced payments, deferred payments, credit, finances, financial stability, self-employed, industry, Canada Emergency Wage Subsidy, CEWS, Temporary Wage Subsidy, Work-Sharing program, Business Credit Availability Program, BCAP, Canada Emerg","CERB apply; CERB; Canada emergency response benefit; CERB application; apply CERB; CERB benefit; COVID 19 benefit; covid-19 benefit; applying for cerb; who can apply cerb; how to apply for CERB; who is eligible for CERB; CERB eligibility; when to apply for cerb; return CERB; repay CERB; apply CERB online; apply CERB by phone; CERB phone number; when is CERB sent; when do i get CERB; ","COVID-19 support for individuals , Canada Emergency Response Benefit","EC Economics and Industry,ET Education and Training,GV Government and Politics,LB Labour,PE Persons,PR Processes,Employment insurance,Employment and Social Development Canada,Canada,Benefits,Jobs and the workplace,Money and finances,Aboriginal peoples,business,employers,funding applicants,general public,government,job seekers,media,persons with disabilities,students,women,news releases,Hon. Carla Qualtrough,Hon. Diane Lebouthillier,Hon. Jean-Yves Duclos","COVID-19, Coronavirus, Corona virus, disease, Service Canada, Service Canada offices, fever, cough, quarantine, self-isolation, difficulty breathing, health, safety, labour, risk, prevention, responsibilities, Canada Labour Code, Hazard Prevention Program, workplace, illness, virus, infection, symptoms, treatment"
language,12,eng,,,,
legalName,1365,Department_of_National_Defence,Department_of_Indian_Affairs_and_Northern_Development,Canadian_Institutes_of_Health_Research,Department_of_Foreign_Affairs__Trade_and_Development,agriculture_and_agri_food_canada
meta_date,15,2006-01-18,0000-00-00,2012-07-27,,
month,15,11,12,03,04,10
msapplication-TileColor,350,"#0072C6","#ba1115","#ffffff","#FFFFFF","#ff0000"
msapplication-TileImage,301,/_layouts/15/images/SharePointMetroAppTile.png,/ms-icon-144x144.png,https://horizons.gc.ca/wp-content/uploads/2019/02/cropped-Policy-Horizons-Favicon-3-02-270x270.png,/dist/mstile-144x144.png?v=wAvmWKJLpQ,https://scics.ca/wp-content/themes/Artificial-Reason-WP-child/img/favicons/mstile-144x144.png
msapplication-config,290,/dist/browserconfig.xml?v=wAvmWKJLpQ,none,,,
msapplication-navbutton-color,214,"#000000",,,,
msapplication-square150x150logo,1,https://scics.ca/wp-content/themes/Artificial-Reason-WP-child/img/favicons/mstile-150x150.png,,,,
msapplication-square310x310logo,1,https://scics.ca/wp-content/themes/Artificial-Reason-WP-child/img/favicons/mstile-310x310.png,,,,
msapplication-square70x70logo,1,https://scics.ca/wp-content/themes/Artificial-Reason-WP-child/img/favicons/mstile-70x70.png,,,,
msapplication-task,6,name=Subscribe;action-uri=https://thediscoverblog.com/feed/;icon-uri=https://secure.gravatar.com/blavatar/2b6eb89e03139f52289ec99ed77c14fd?s=16,name=WordPress.com Forums;action-uri=http://forums.wordpress.com/;icon-uri=https://s1.wp.com/i/favicon.ico,name=WordPress.com Support;action-uri=http://support.wordpress.com/;icon-uri=https://s1.wp.com/i/favicon.ico,name=Sign up for a free blog;action-uri=http://wordpress.com/signup/;icon-uri=https://s1.wp.com/i/favicon.ico,
msapplication-wide310x150logo,1,https://scics.ca/wp-content/themes/Artificial-Reason-WP-child/img/favicons/mstile-310x150.png,,,,
msapplication-window,6,width=device-width;height=device-height,,,,
name,1,Trushar R Patel,,,,
nserc.author,60,CPP,RPP,"RGS, RPP",Secretariat,RGS
nserc.datecreated,60,2019-04-24,2018-11-05,2016-06-28,2018-04-17,2020-03-31
nserc.datemodified,60,2020-04-22,2014-05-20,2018-11-05,2020-03-31,2012-01-10
nserc.department,60,CPP,RPP,"RGS,RPP",Secretariat,RGS
nserc.template,60,CLF 2.0 - VERSION 1.04,WET 4.0 - VERSION 4.0.11,,,
nserc.title,23,NSERC - NSERC Alliance COVID-19 grants,NSERC - Alliance Grants - Apply,NSERC - Media Room - Latest News - Tri-agency message on COVID-19,"NSERC - Media Room - Latest News - Update on COVID-19 and impact on policies, programs, and operations",NSERC - NSERC Alliance COVID-19 grants - Partners
ntCoent-Length,156,21065,25111,28107,21041,25688
og:description,637,Evaluation of the Canadian Space Agency Satellite Communications Business Line,"Get quick, easy access to all Canadian Centre for Cyber Security services and information.",Comprehensive Socio-Economic Impact Assessment of the Canadian Space Sector,GBA+ Awareness Week 2017,Travel Advice and Advisories from the Government of Canada
og:image,352,http://travel.gc.ca/vt/custom/images/flags/200/GN.jpg,http://travel.gc.ca/vt/custom/images/flags/200/CF.jpg,http://travel.gc.ca/vt/custom/images/flags/200/SN.jpg,https://cyber.gc.ca/sites/default/files/cccs-banner.png,http://travel.gc.ca/vt/custom/images/flags/200/ZM.jpg
og:image:alt,9,Your flexibility and professionalism as we work through this crisis period continue to motivate me to stay focused and keep going. Thank you. Below are a few updates for you.,"We would like to provide the Defence Team with the latest information related to the rapidly evolving 2019 novel coronavirus (COVID-19) and the steps we are taking to minimize the risk to Defence team members. ","Using alternatives to DVPNI to communicate during our COVID-19 response will enable us to maximize our limited bandwidth and reserve DND/CAF network access for critical activities only. ",This message contains updated information from the Government of Canada’s Office of the Chief Human Resources Officer (OCHRO) for all Public Service employees.,Letter from Chief of the Defence Staff (CDS) regarding COVID-19
og:image:height,6,100,200,627,,
og:image:secure_url,9,https://www.btb.termiumplus.gc.ca/images/mobile/tplus.png,https://www.clo-ocol.gc.ca/sites/default/files/timeline_images/,https://www.cbsa-asfc.gc.ca/travel-voyage/images/declare0519e.jpg,,
og:image:type,5,image/png,image/jpeg,,,
og:image:width,6,100,200,1200,,
og:locale,14,en_CA,en_US,,,
og:locality,2,"Ottawa, Ontario","Biarritz, France",,,
og:site_name,459,Canadian Centre for Cyber Security,ESDC-Consultations,Travel.gc.ca,The Maple Leaf,Prime Minister of Canada
og:title,666,Canadian Centre for Cyber Security,Travel Advice and Advisories for Central African Republic,Travel Advice and Advisories for Guinea,Travel Advice and Advisories for Senegal,Travel Advice and Advisories for Zambia
og:type,349,website,Article,profile,Website,article
og:updated_time,10,"Wed, 06/26/2019 - 20:29",2019-05-28T11:27:55-04:00,"Wed, 10/09/2019 - 14:54","Mon, 01/06/2020 - 17:18",2017-09-25T09:38:54-04:00
og:url,560,http://travel.gc.ca/destinations/zambia,http://travel.gc.ca/destinations/guinea,http://travel.gc.ca/destinations/central-african-republic,https://cyber.gc.ca/en/,http://travel.gc.ca/destinations/senegal
owner,2,"Srivastava, Vikesh",,,,
pHYs,1,"pixelsPerUnitXAxis=2835, pixelsPerUnitYAxis=2835, unitSpecifier=meter",,,,
partNo,58,2,3,4,5,9
plannedaction,3,None,,,,
plannedactionid,8,266,,,,
platform,60,www,,,,
pragma,2,no-cache,,,,
prodkeydate1,179,2003-03-31,2005-03-31,2004-11-23,,
prodkeyword1,179,Law,h2ea,tpc,NewsResources,Business
prodkeyword2,179,EnforceGuide,Reports,publications,,
prodkeyword3,179,,,,,
prodkeyword4,179,,,,,
prodkeyword5,179,,,,,
prodkeyword6,35,archived,,,,
prodkeyword7,179,0,-1,,,
progId,2,FrontPage.Editor.Document,,,,
progid,6,FrontPage.Editor.Document,SharePoint.WebPartPage.Document,,,
province,1,Alberta,,,,
pwgsc.contact.email,149,questions@pwgsc-tpsgc.gc.ca,,,,
referrer,59,same-origin,,,,
refresh,2,2; URL=https://www.notmar.gc.ca,,,,
request-id,51,d2e04b9f-302c-80c3-fcbc-a271ccb8ccc0,f8e04b9f-00c8-80c3-fcbc-a90f81fd2783,1ce14b9f-ce99-f0da-ff96-e48975b77090,dee04b9f-f0bc-80c3-fcbc-a1cc9eed7fda,d9e04b9f-12f6-c0de-c82e-c9519a3d6c13
review_date,296,2019-09-14,1993-08-30,2019-03-26,2016-02-04,2014-05-24
robots,141,"noindex, nofollow, noarchive",noarchive,noindex,"index, follow","index, follow, noarchive"
searchrank,58,2000,,,,
site_product_code,179,101,740,017,669,082
status,8,Approved,,,,
statusid,8,1,,,,
subject,14,Agriculture;Awareness;Benefits;Best practices;Businesses;Clients;Complaints;Compliance;Contact;Development;Electronic mail;Employees;English;Food;Food inspection;Francophonie;French;Game;Guidelines;Health;Heritage;Human resources;Information;Inspection;Languages;Linguistic duality;Management;Meetings;Monitoring;National Capital;Needs;Offices;Official languages;Participation;Policy;Program management;Public service;Requirements;Review;Schools;Software;Staff;Statistics;Tools;Training;Workforce;Workplace,Accountability;Acts;Administration;Administration of justice;Adoption;Advertising;Advocacy;Aged;Agreements;Agriculture;Air;Air traffic;Air transport;Alliance;Ambassadors;Amendments;Analysis;Annual reports;Artists;Arts;Assessment;Associations;Athletes;Atlantic provinces;Awareness;Bank notes;Bilingual services;Bilingualism;Bills;Birth;Broadcasting;Canadian identity;Candidates;Change;Charter of rights and freedoms;Child care;Childhood;Children;Cities;Citizenship;Clients;Commerce;Committees;Communications;Commu,Aboriginal affairs;Access to information;Accountability;Active offer of bilingual services;Acts;Adults;Adverse effects;Aging;Agreements;Agriculture;Air;Air carriers;Air transport;Airports;Analysis;Anniversaries;Annual reports;Appointments;Artists;Arts;Assessment;Assets;Associations;Atlantic provinces;Audit;Awareness;Behaviour;Benefits;Best practices;Bilingual services;Bilingualism;Birth;Board of directors;Bridges;Broadcasting;Business development;Businesses;Canadian history;Canadian identity;Candidates;Cele,Aboriginal languages;Accountability;Acts;Administration;Adoption;Appointments;Archives;Audit;Benefits;Bilingualism;Boundaries;Bridges;Charter of rights and freedoms;Children;Citizenship;Civil servants;Civil service;Climate;Colleges;Communications;Competencies;Concrete;Constitution;Constitution act;Constitutional law;Courts;Crisis;Demand;Demography;Development;Economic development;Education;Elementary schools;Employees;English;English language;Expectations;Fabric;Federal government;Federal institutions;Forei,Amendments;Analysis;Benefits;Best practices;Bilingualism;Community development;Contact;Development;Evaluation;Federal institutions;Implementation;Indicators;Information;Interviews;Languages;Linguistic duality;Literature;Official languages;Parliament;Planning;Programs;Representatives;Research;Review;Tools
subjectid,2,115,116,3088,1627,54
tIME,1,"year=2017, month=4, day=21, hour=19, minute=25, second=13",,,,
tec-api-origin,1,http://sopf.gc.ca,,,,
tec-api-version,1,v1,,,,
theme-color,581,"#ffffff","#e2e2e2","#634f70","#000000",
tier,1,2,,,,
tiff:BitsPerSample,6,8 8 8 8,,,,
tiff:ImageLength,6,16,339,,,
tiff:ImageWidth,6,266,16,,,
title,6079,Canada Emergency Response Benefit to Launch on April 6 - Canada.ca,Canada Emergency Response Benefit - Canada.ca,Coronavirus disease (COVID-19) – Benefits and services - Canada.ca,Canada’s COVID-19 Economic Response Plan - Canada.ca,Apply for Canada Emergency Response Benefit (CERB) with CRA - Canada.ca
topic,4,Commons services,Staffing and Employee Integration,"Employee Performance, Learning, Development and Recognition","Service, GC 2.0 and community enablement",Hiring
topicarea,3,People management,Service and digital,"Service ",Assets and acquired services,
topicareaid,3,27,50,40,96,
topicid,4,34,45,78,97,76
twitter:alt,1,,,,,
twitter:app:country,5,,,,,
twitter:app:id:google,5,,,,,
twitter:app:id:ipad,5,,,,,
twitter:app:id:iphone,5,,,,,
twitter:app:name:google,5,,,,,
twitter:app:name:ipad,5,,,,,
twitter:app:name:iphone,5,,,,,
twitter:app:url:google,5,,,,,
twitter:app:url:ipad,5,,,,,
twitter:app:url:iphone,5,,,,,
twitter:card,324,summary,summary_large_image,http://www.nserc-crsng.gc.ca/img/,http://www.nserc-crsng.gc.ca/img/nserc_fr.jpg,http://www.nserc-crsng.gc.ca/img/nserc_en.jpg
twitter:creator,53,@LibraryArchives,@connect2canada,@cybercentre_ca,@LibraryArchivesCanada,@ccohs
twitter:description,59,Evaluation of the Canadian Space Agency Satellite Communications Business Line,"Get quick, easy access to all Canadian Centre for Cyber Security services and information.",Does Climate Change Affect Us All the Same Way?,Comprehensive Socio-Economic Impact Assessment of the Canadian Space Sector,"The Prime Minister, Justin Trudeau, today announced changes to the structure and mandate of Cabinet committees to make them even more efficient and responsive to the needs of Canadians, and to reflect recent changes to the Ministry. The new and modified Cabinet committees reflect the Government of Canada’s top priorities: delivering economic growth, diversifying international trade, strengthening the middle class, advancing reconciliation with Indigenous peoples, and fighting climate change. "
twitter:domain,1,cic.gc.ca,,,,
twitter:image,54,https://www.btb.termiumplus.gc.ca/images/mobile/tplus.png,https://pm.gc.ca/sites/pm/files/media/override_sharing/priority_override/2018-08/cabinet_committees_eng.jpg,https://www.asc-csa.gc.ca/images/og-asc-200x267.png,https://cyber.gc.ca/sites/default/files/cccs-banner.png,https://cfc-swc.gc.ca/images/med/multimedia/climate-climat-en.jpg
