Theme/Department,Title,URL,Content Type(s),Sub-Topics,Modified Date,Language
Santé,Surveillance de l'influenza : du 12 avril au 18 avril 2015 (semaine de déclaration 15),https://www.canada.ca/fr/sante-publique/services/publications/maladies-et-affections/surveillance-influenza-12-18-avril-2015-semaine-declaration-15.html,Links to Covid pages,,2015-04-23T00:00:00Z,fr
Santé,"Rapport de virus des voies respiratoires, semaine 12 - se terminant le 24 mars 2018",https://www.canada.ca/fr/sante-publique/services/surveillance/detection-virus-voies-respiratoires-canada/2017-2018/detection-isolement-virus-voies-respiratoires-semaine-12-terminant-24-mars-2018.html,Substantive,"Keywords: Rapport de virus des voies respiratoires, Canada, détection, isolement, tests de laboratoire positifs,  virus grippal, virus respiratoire syncytial, virus parainfluenza, virus adénovirus, métapneumovirus humain, virus entérovirus, virus rhinovirus, virus coronavirus, A(H1N1)pdm09, A(H3N2), MPVh, PIV, VRS, Programme de Surveillance et détection de virus des voies respiratoires, SDVVR
",2018-03-29 08:39:52,fra
Santé,"Rapport de virus des voies respiratoires, semaine 1 : se terminant le 4 janvier 2020",https://www.canada.ca/fr/sante-publique/services/surveillance/detection-virus-voies-respiratoires-canada/2020-2021/semaine-1-terminant-4-janvier-2020.html,Substantive,"Keywords: Rapport de virus des voies respiratoires, Canada, détection, isolement, tests de laboratoire positifs,  virus grippal, virus respiratoire syncytial, virus parainfluenza, virus adénovirus, métapneumovirus humain, virus entérovirus, virus rhinovirus, virus coronavirus, A(H1N1)pdm09, A(H3N2), MPVh, PIV, VRS, Programme de Surveillance et détection de virus des voies respiratoires, SDVVR

H2: Sur cette page; Détection and isolement de virus des voies respiratoires; Nombre de tests de laboratoire positifs pour les autres virus respiratoires; Détection du virus grippal au Canada; Détection du virus respiratoire syncytial; Détection du virus parainfluenza; Détection du virus adénovirus; Détection du métapneumovirus humain; Détection du virus entérovirus/rhinovirus; Détection du virus coronavirus
",2020-01-16 10:07:19,fr
"Culture, histoire et sport",Commémorations communautaires – Développement des communautés par le biais des arts et du patrimoine,https://www.canada.ca/fr/patrimoine-canadien/services/financement/developpement-communautes/commemorations.html,Links to Covid pages,,2020-03-17T00:00:00Z,fr
N/A,Proactive Disclosure - Social Sciences and Humanities Research Council,https://www.sshrc-crsh.gc.ca/transparency-transparence/disclosure-divulgation/expenses-depenses/2005/durocher_expenses-depenses_j2005-eng.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,en
National security and defence,Operation PALACI,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-palaci.html,Links to Covid pages,,2018-10-29T00:00:00Z,en
Santé,"Rapport de virus des voies respiratoires, semaine 41 - se terminant le 13 octobre 2018",https://www.canada.ca/fr/sante-publique/services/surveillance/detection-virus-voies-respiratoires-canada/2018-2019/detection-isolement-virus-voies-respiratoires-semaine-41-terminant-13-octobre-2018.html,Substantive,"Keywords: Rapport de virus des voies respiratoires, Canada, détection, isolement, tests de laboratoire positifs,  virus grippal, virus respiratoire syncytial, virus parainfluenza, virus adénovirus, métapneumovirus humain, virus entérovirus, virus rhinovirus, virus coronavirus, A(H1N1)pdm09, A(H3N2), MPVh, PIV, VRS, Programme de Surveillance et détection de virus des voies respiratoires, SDVVR
",2018-10-18 10:46:46,fr
N/A,Proactive Disclosure - Social Sciences and Humanities Research Council,https://www.sshrc-crsh.gc.ca/transparency-transparence/disclosure-divulgation/expenses-depenses/2010/herbert-copley_expenses-depenses_j2010-eng.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,en
Santé,Déclaration de l’administratrice en chef de la santé publique au sujet de la levée de la quarantaine des Canadiens rapatriés ayant passé 14 jours à la Base des Forces canadiennes Trenton,https://www.canada.ca/fr/sante-publique/nouvelles/2020/02/declaration-de-ladministratrice-en-chef-de-la-sante-publique-au-sujet-de-la-levee-de-la-quarantaine-des-canadiens-rapatries-ayant-passe-14-jours-a-.html,Links to Covid pages,,2020-02-21T00:00:00Z,fr
N/A,Divulgation proactive - Conseil de recherches en sciences humaine,https://www.sshrc-crsh.gc.ca/transparency-transparence/disclosure-divulgation/expenses-depenses/2009/gaffield_expenses-depenses_m2009-fra.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,fr
N/A,St. Albert RCMP - March is Fraud Prevention Month | Royal Canadian Mounted Police,http://www.rcmp-grc.gc.ca/en/news/2020/st-albert-rcmp-march-is-fraud-prevention-month,Links to Covid pages,,2020-03-20T00:00:00Z,en
Business and industry,Maintaining and growing your business,https://www.canada.ca/en/services/business/maintaingrowimprovebusiness.html,Links to Covid pages,,2020-03-20T00:00:00Z,en
Santé,"Détection/isolement de virus des voies respiratoires au Canada, semaine 24 - se terminant le 17 juin 2017",https://www.canada.ca/fr/sante-publique/services/surveillance/detection-virus-voies-respiratoires-canada/2016-2017/semaine-24-terminant-17-juin-2017.html,Links to Covid pages,,2019-10-31T00:00:00Z,fr
Health,Pathogen Safety Data Sheets,https://www.canada.ca/en/public-health/services/laboratory-biosafety-biosecurity/pathogen-safety-data-sheets-risk-assessment.html,Links to Covid pages,,2019-12-06T00:00:00Z,en
N/A,"Ted Hewitt, Remboursement des dépenses de la haute gestion [juin-septembre 2016]",https://www.sshrc-crsh.gc.ca/transparency-transparence/disclosure-divulgation/expenses-depenses/2016/hewitt_expenses-depenses_j2016-fra.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,fr
Health,Symptoms of COVID-19 and tips for prevention,https://www.canada.ca/en/public-health/services/video/symptoms-covid-19-tips-prevention.html,Substantive,"Description: If you or someone close to you has recently travelled abroad, watch for the following
symptoms of Coronavirus disease.
Name: symptoms-covid-19-tips-prevention
Page title: Symptoms of COVID-19 and tips for prevention
H1: Symptoms of COVID-19 and tips for prevention
Keywords: COVID-19, Health, Canada, Symptoms, Coronavirus
",2020-03-27 09:42:36,en
Sécurité nationale et défense,Logements militaires à Dundurn,https://www.canada.ca/fr/ministere-defense-nationale/services/avantages-militaires/logements-militaires/emplacements/dundurn.html,Links to Covid pages,,2020-03-16T00:00:00Z,fr
N/A,Divulgation proactive - Conseil de recherches en sciences humaine,https://www.sshrc-crsh.gc.ca/transparency-transparence/disclosure-divulgation/expenses-depenses/2004/peers_hospitality-accueil_m2004-fra.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,fr
Santé,Industrie des produits de santé contre la COVID-19,https://www.canada.ca/fr/sante-canada/services/medicaments-produits-sante/covid19-industrie.html,Substantive,"Description: Information pour les fabricants des produits de santé et les distributeurs par rapport à la COVID-19
Name: covid19-industrie
Page title: Industrie des produits de santé contre la COVID-19
H1: Industrie des produits de santé contre la COVID-19
Keywords: COVID-19, coronavirus, Produit de santé, produit de santé, Santé Canada, médicaments, dispositifs médicaux, Instruments médicaux, produits de santé naturels, tests diagnostiques, ventilateurs, équipement de protection individuelle, désinfectants pour les mains, essais cliniques, traitement
",2020-03-29 18:49:40,fr
N/A,Partnership Grants—Letter of Intent Selection Committee: February 2014 Competition,https://www.sshrc-crsh.gc.ca/funding-financement/merit_review-evaluation_du_merite/selection_committees-comites_selection/pg-loi_feb2015-sp-li_feb2015-eng.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,en
N/A,Universités canadiennes admissibles possédant un quota : Bourses de doctorat,https://www.sshrc-crsh.gc.ca/funding-financement/apply-demande/background-renseignements/doctors_allocation-doctorat_allocation-fra.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,fr
N/A,Documents de voyage nécessaires,https://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/pssngr-prtct/dcmnts-fr.aspx,Links to Covid pages,,2020-03-30T00:00:00Z,fr
N/A,News | Royal Canadian Mounted Police,http://www.rcmp-grc.gc.ca/en/news?div%255B%255D=1882&page=1,Links to Covid pages,,2020-03-18T00:00:00Z,en
Health,Government of Canada to hold a media availability on the novel coronavirus in Canada,https://www.canada.ca/en/public-health/news/2020/02/government-of-canada-to-hold-a-media-availability-on-the-novel-coronavirus-in-canada.html,Substantive,"Description: Government of Canada officials will hold a media availability to provide information on a novel coronavirus (referred to as 2019-nCoV) in Canada.
Name: government-of-canada-to-hold-a-media-availability-on-the-novel-coronavirus-in-canada
Page title: Government of Canada to hold a media availability on the novel coronavirus in Canada
",2020-02-10 13:13:42,eng
N/A,Customs Notice 20-11 - Extension of Timeframes for Payment of Customs Duties and GST (COVID-19),https://www.cbsa-asfc.gc.ca/publications/cn-ad/cn20-11-eng.html,Substantive,"Title: Customs Notice 20-11 - Extension of Timeframes for Payment of Customs Duties and GST (COVID-19)
",2020-03-27T00:00:00Z,en
Santé,"Rapport de virus des voies respiratoires, semaine 34 : se terminant le 24 août 2019",https://www.canada.ca/fr/sante-publique/services/surveillance/detection-virus-voies-respiratoires-canada/2018-2019/detection-isolement-virus-voies-respiratoires-semaine-34-terminant-24-aout-2019.html,Substantive,"Keywords: Rapport de virus des voies respiratoires, Canada, détection, isolement, tests de laboratoire positifs,  virus grippal, virus respiratoire syncytial, virus parainfluenza, virus adénovirus, métapneumovirus humain, virus entérovirus, virus rhinovirus, virus coronavirus, A(H1N1)pdm09, A(H3N2), MPVh, PIV, VRS, Programme de Surveillance et détection de virus des voies respiratoires, SDVVR

",2019-08-29 14:44:13,fr
Sécurité nationale et défense,Logements militaires à Comox,https://www.canada.ca/fr/ministere-defense-nationale/services/avantages-militaires/logements-militaires/emplacements/comox.html,Links to Covid pages,,2020-03-16T00:00:00Z,fr
N/A,Documents de voyage et les exigences en matière d'identification,https://www.cbsa-asfc.gc.ca/travel-voyage/td-dv-fra.html,Substantive,"H2: Résidents qui reviennent au pays; Visiteurs au Canada; Avis : Coronavirus (COVID-19) - Services d’immigration; Autorisation de voyage électronique; Faux sites web; Autres
",2019-03-19T00:00:00Z,fr
"Culture, histoire et sport",Les jeunes s’engagent,https://www.canada.ca/fr/patrimoine-canadien/services/financement/jeunes-engagent.html,Links to Covid pages,,2020-03-16T00:00:00Z,fr
N/A,"Quarterly Financial Report for the Quarter ended June 30, 2013 - Figure 1",https://www.sshrc-crsh.gc.ca/about-au_sujet/publications/QFR-RFT/2013/q1_figure1-eng.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,en
N/A,La maladie à coronavirus (COVID-19) et votre visite au lieu historique national de Skmaqn–Port-la-Joye–Fort-Amherst - Lieu historique national de Skmaqn–Port-la-Joye–Fort-Amherst,https://www.pc.gc.ca/fr/lhn-nhs/pe/skmaqn/visit/covid-19-info,Substantive,"Title: La maladie à coronavirus (COVID-19) et votre visite au lieu historique national de Skmaqn–Port-la-Joye–Fort-Amherst - Lieu historique national de Skmaqn–Port-la-Joye–Fort-Amherst
H2: La maladie à coronavirus (COVID-19) et votre visite au lieu historique national de Skmaqn–Port-la-Joye–Fort-Amherst
desc: Comment la COVID-19 peut affecter votre visite.
",2020-03-30T00:00:00Z,fr
N/A,SOMNIA - Pleins feux sur les nouvelles militaires,https://www.cfc.forces.gc.ca/Somnia/2020/03/01/somnia-fra.html,Links to Covid pages,,2020-03-02T00:00:00Z,fr
Santé,L'administratrice en chef de la santé publique et le sous-administrateur en chef de la santé publique tiendront un point de presse sur le nouveau coronavirus,https://www.canada.ca/fr/sante-publique/nouvelles/2020/02/ladministratrice-en-chef-de-la-sante-publique-et-le-sous-administrateur-en-chef-de-la-sante-publique-tiendront-un-point-de-presse-sur-le-nouveau-co1.html,Substantive,"Description: L'administratrice en chef de la santé publique et le sous-administrateur en chef de la santé publique tiendront un point de presse sur le nouveau coronavirus
Page title: L'administratrice en chef de la santé publique et le sous-administrateur en chef de la santé publique tiendront un point de presse sur le nouveau coronavirus
Title: L'administratrice en chef de la santé publique et le sous-administrateur en chef de la santé publique tiendront un point de presse sur le nouveau coronavirus
desc: L'administratrice en chef de la santé publique et le sous-administrateur en chef de la santé publique tiendront un point de presse sur le nouveau coronavirus
",2020-02-27 10:09:43,fra
N/A,Video walkthrough: Doctoral Awards,https://www.sshrc-crsh.gc.ca/society-societe/knowledge_mobilization-mobilisation_des_connaissances/videos/plesca-eng.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,en
N/A,Subventions de synthèse des connaissances : L’avenir des relations commerciales entre le Canada et le Royaume-Uni,https://www.sshrc-crsh.gc.ca/funding-financement/programs-programmes/ksg_esrc-ssc_esrc-fra.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,fr
Santé,Bulletin  des agents pathogènes des voies respiratoires émergents – numéro 22 novembre  2018,https://www.canada.ca/fr/sante-publique/services/surveillance/bulletin-agents-pathogens-voies-respiratoires-emergents/2018-11.html,Substantive,"H2: Mise à jour sur les problèmes de santé publique liés aux agents pathogènes des voies respiratoires émergents chez l’humain  (31 octobre 2018); Dans ce Bulletin; Grippe Aviaire A(H7N9); Grippe aviaire A(H7N4); Grippe aviaire A(H9N2); Grippe aviaire A(H5N1); Grippe aviaire A(H5N6); Grippe A(H3N2)v d’origine porcine; Grippe A(H1N2)v d'origine porcine; Grippe A(H1N1)v d'origine porcine; Coronavirus du syndrome respiratoire du Moyen-Orient (SRMO-CoV)
",2019-05-15T00:00:00Z,fr
N/A,Données de recherche en santé : nouvelles et activités - IRSC,https://cihr-irsc.gc.ca/f/50044.html,Links to Covid pages,,2020-03-04T00:00:00Z,fr
N/A,Audit de l’occasion de financement liée aux subventions Savoir du CRSH,https://www.sshrc-crsh.gc.ca/about-au_sujet/publications/audit/insight-savoir-fra.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,fr
Santé,"Rapport de virus des voies respiratoires, semaine 44 : se terminant le 2 novembre 2019",https://www.canada.ca/fr/sante-publique/services/surveillance/detection-virus-voies-respiratoires-canada/2019-2020/detection-isolement-virus-voies-respiratoires-semaine-44-terminant-2-novembre-2019.html,Substantive,"Keywords: Rapport de virus des voies respiratoires, Canada, détection, isolement, tests de laboratoire positifs,  virus grippal, virus respiratoire syncytial, virus parainfluenza, virus adénovirus, métapneumovirus humain, virus entérovirus, virus rhinovirus, virus coronavirus, A(H1N1)pdm09, A(H3N2), MPVh, PIV, VRS, Programme de Surveillance et détection de virus des voies respiratoires, SDVVR

",2019-11-07 13:51:32,fr
N/A,Travel advice and advisories for Norway,https://travel.gc.ca/destinations/norway,Links to Covid pages,,2020-03-23T00:00:00Z,en
N/A,Journal des marques de commerce Vol. 66 No. 3393,https://www.ic.gc.ca/opic-cipo/tmj/eng/view.html?edition=11-06&file=Journal_fr.html&year=2019,Links to Covid pages,,,fr
N/A,Faits et chiffres,https://www.sshrc-crsh.gc.ca/about-au_sujet/facts-faits/index-fra.aspx,Links to Covid pages,,2019-03-21T00:00:00Z,fr
N/A,Charities: CRA and COVID-19,https://www.canada.ca/en/revenue-agency/campaigns/covid-19-update/covid-19-charities.html,Substantive,"Name: covid-19-charities
Page title: Charities: CRA and COVID-19
H1: Charities: CRA and COVID-19<br>


Title: Charities: CRA and COVID-19
",2020-03-27 14:19:26,en
Health,How to care for a child with COVID-19 at home: Advice for caregivers,https://www.canada.ca/en/public-health/services/publications/diseases-conditions/how-to-care-for-child-with-covid-19-at-home-advice-for-caregivers.html,Substantive,"Description: Children who have mild COVID-19 symptoms are able to stay at home with a caregiver throughout their recovery without needing hospitalization. 
Name: how-to-care-for-child-with-covid-19-at-home-advice-for-caregivers
Page title: How to care for a child with COVID-19 at home: Advice for caregivers
H1: How to care for a child with COVID-19 at home: Advice for caregivers
Keywords: children, mild, COVID-19, symptoms, home, caregiver, recovery, hospitalization, wash, hands
",2020-03-30 16:53:33,en
N/A,Plan your visit - Waterton Lakes National Park,https://www.pc.gc.ca/en/pn-np/ab/waterton/visit,Links to Covid pages,,2020-03-26T00:00:00Z,en
N/A,Divulgation proactive - Conseil de recherches en sciences humaine,https://www.sshrc-crsh.gc.ca/transparency-transparence/disclosure-divulgation/expenses-depenses/2005/halliwell_hospitality-accueil_m2005-fra.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,fr
N/A,Carrières,https://www.sshrc-crsh.gc.ca/about-au_sujet/careers-carrieres/student-etudiant-fra.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,fr
N/A,How do I replace my Refugee Protection Claimant Document?,https://www.cic.gc.ca/english/helpcentre/answer.asp?qnum=1478&top=12,Links to Covid pages,,,en
N/A,Proactive Disclosure - Social Sciences and Humanities Research Council,https://www.sshrc-crsh.gc.ca/transparency-transparence/disclosure-divulgation/expenses-depenses/2007/gaffield_hospitality-accueil_s2007-eng.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,en
N/A,États financiers prospectifs 2016-2017,https://www.sshrc-crsh.gc.ca/about-au_sujet/publications/rpp/2016-2017/financial_statements-etats_financiers-fra.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,fr
N/A,Divulgation proactive - Conseil de recherches en sciences humaine,https://www.sshrc-crsh.gc.ca/transparency-transparence/disclosure-divulgation/expenses-depenses/2007/yasmeen_hospitality-accueil_j2007-fra.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,fr
Santé,Intervention pancanadienne face à la COVID 19,https://www.canada.ca/fr/sante-publique/services/publications/maladies-et-affections/intervention-pancanadienne-covid-19.html,Substantive,"Description: Interventions pour COVID-19: réseaux de labo, surveillance, recherché, santé publique, capacité d’intervention, communication, santé des voyageurs
Name: intervention-pancanadienne-covid-19
Page title: Intervention pancanadienne face à la COVID 19
H1: Intervention pancanadienne face à la COVID-19
Keywords: COVID-19, coronavirus, Intervention pancanadienne, réseaux de laboratoires, surveillance, recherche, mesures de santé publique, capacité d’intervention des soins de santé, communication et sensibilisation, santé aux frontières et santé des voyageurs
Title: Intervention pancanadienne face à la COVID 19
desc: Interventions pour COVID-19: réseaux de labo, surveillance, recherché, santé publique, capacité d’intervention, communication, santé des voyageurs
",2020-03-27 16:56:10,fr
Santé,"Bulletin des agents pathogènes des voies respiratoires émergents: Numéro 31, juillet 2019",https://www.canada.ca/fr/sante-publique/services/surveillance/bulletin-agents-pathogens-voies-respiratoires-emergents/2019-07.html,Substantive,"H2: Dans ce Bulletin; Mise à jour sur les virus grippaux aviaires; Mise à jour sur les virus grippaux d'origine porcine; Mises à jour sur le Coronavirus du syndrome respiratoire du Moyen-Orient
",2019-10-31T00:00:00Z,fr
N/A,Maladies et lésions : Réponses SST,https://www.cchst.ca/oshanswers/diseases/,Links to Covid pages,,,fr
N/A,Le Canada et la Barbade,https://www.international.gc.ca/country-pays/barbados-barbade/index.aspx?lang=fra,Substantive,"H2: Maladie à coronavirus (COVID-19); Suivez:; Conseils aux voyageurs et avertissements; Trouver un bureau du gouvernement du Canada; Avant de venir au Canada; Avant d'aller à la Barbade; Relations Canada-Barbade; Faire des affaires à la Barbade; En demande; Nouvelles; Trouver un bureau du gouvernement du Canada
",2020-03-25T00:00:00Z,fr
Immigration and citizenship,coronavirus-include-apply-online-en,https://www.canada.ca/en/immigration-refugees-citizenship/services/reference-include/coronavirus-include-apply-online-en.html,Substantive,"Name: coronavirus-include-apply-online-en
Page title: coronavirus-include-apply-online-en
H1: coronavirus-include-apply-online-en
",2020-03-19 12:03:47,en
N/A,"Parcs Canada - Information sur les avalanches - Bulletin d'avalanche - Parc national Jasper - Ven. déc. 27, 2019",https://avalanche.pc.gc.ca/bulletin-fra.aspx?d=2019-12-27&r=2,Links to Covid pages,,,fr
Santé,"Rapport de virus des voies respiratoires, semaine 33 - se terminant le 18 août 2018",https://www.canada.ca/fr/sante-publique/services/surveillance/detection-virus-voies-respiratoires-canada/2017-2018/detection-isolement-virus-voies-respiratoires-semaine-33-terminant-18-aout-2018.html,Substantive,"Keywords: Rapport de virus des voies respiratoires, Canada, détection, isolement, tests de laboratoire positifs,  virus grippal, virus respiratoire syncytial, virus parainfluenza, virus adénovirus, métapneumovirus humain, virus entérovirus, virus rhinovirus, virus coronavirus, A(H1N1)pdm09, A(H3N2), MPVh, PIV, VRS, Programme de Surveillance et détection de virus des voies respiratoires, SDVVR
",2018-08-23 09:36:31,fra
N/A,Travel advice and advisories for North Macedonia,https://travel.gc.ca/destinations/macedonia,Links to Covid pages,,2020-03-23T00:00:00Z,en
N/A,"Contact the CBSA for general information on programs, services and initiatives",https://www.cbsa-asfc.gc.ca/contact/bis-sif-eng.html,Substantive,"H2: Coronavirus (COVID-19) update: March 20, 2020; Email; Phone; Mailing address; Helpful resources
",2020-03-22T00:00:00Z,en
Santé,COVID-19 : Sensibilisation – Distanciation,https://www.canada.ca/fr/services/sante/video/limiter-propagation-covid-19-distanciation-sociale.html,Substantive,"Description: Contribuez à réduire la propagation de la COVID-19. Pratiquez la distanciation sociale.

Name: limiter-propagation-covid-19-distanciation-sociale
Page title: COVID-19 : Sensibilisation – Distanciation
H1: COVID-19 : Sensibilisation – Distanciation
Keywords: maladie à coronavirus, corona virus, COVID-19, Dre Tam, Dre Theresa Tam, prévention, prévention du coronavirus, limiter la propagation, distanciation sociale, rester à la maison, éviter les endroits achalandés, éviter les sorties non-essentielles, auto-isolement, Administratrice en chef de la santé publique, Agence de la santé publique du Canada, gouvernement du Canada, Canada

Title: COVID-19 : Sensibilisation – Distanciation
desc: Contribuez à réduire la propagation de la COVID-19. Pratiquez la distanciation sociale.
",2020-03-23 20:17:13,fr
"Culture, history and sport",Limited Support to Endangered Arts Organizations – Canada Cultural Investment Fund,https://www.canada.ca/en/canadian-heritage/services/funding/cultural-investment-fund/endangered-arts-organizations.html,Links to Covid pages,,2020-03-16T00:00:00Z,en
N/A,Conseils et avertissements pour Malte,https://voyage.gc.ca/destinations/malte,Links to Covid pages,,2020-03-23T00:00:00Z,fr
Health,"Respiratory Virus Detections/Isolations in Canada, Week 48 ending November 30, 2013",https://www.canada.ca/en/public-health/services/surveillance/respiratory-virus-detections-canada/2013-2014/respiratory-virus-detections-isolations-week-48-ending-november-24-2013.html,Links to Covid pages,,2013-12-04T00:00:00Z,en
N/A,Divulgation proactive - Conseil de recherches en sciences humaine,https://www.sshrc-crsh.gc.ca/transparency-transparence/disclosure-divulgation/expenses-depenses/2011/gaffield_expenses-depenses_m2011-fra.aspx,Links to Covid pages,,2012-11-29T00:00:00Z,fr
"Environnement et ressources naturelles ",Réserve nationale de faune de Wallace Bay,https://www.canada.ca/fr/environnement-changement-climatique/services/reserves-nationales-faune/existantes/wallace-bay.html,Links to Covid pages,,2020-03-27T00:00:00Z,fr
N/A,Travel advice and advisories for Slovakia,https://travel.gc.ca/destinations/slovakia,Links to Covid pages,,2020-03-26T00:00:00Z,en
N/A,Conseils et avertissements pour Palaos,https://voyage.gc.ca/destinations/palaos,Links to Covid pages,,2020-03-23T00:00:00Z,fr
N/A,REC - Aperçu du marché : Comparaison entre la chute des prix du pétrole brut observée au début de 2020 et celles survenues durant d’autres événements historiques sur les marchés mondiaux du pétrole brut,https://www.cer-rec.gc.ca/nrg/ntgrtd/mrkt/snpsht/2020/03-04rl2020crlprc-fra.html,Links to Covid pages,,2020-03-24T00:00:00Z,fr
Santé,"Rapport de virus des voies respiratoires, semaine 04 - se terminant le 26 janvier 2019",https://www.canada.ca/fr/sante-publique/services/surveillance/detection-virus-voies-respiratoires-canada/2018-2019/detection-isolement-virus-voies-respiratoires-semaine-4-terminant-26-janvier-2019.html,Substantive,"Keywords: Rapport de virus des voies respiratoires, Canada, détection, isolement, tests de laboratoire positifs,  virus grippal, virus respiratoire syncytial, virus parainfluenza, virus adénovirus, métapneumovirus humain, virus entérovirus, virus rhinovirus, virus coronavirus, A(H1N1)pdm09, A(H3N2), MPVh, PIV, VRS, Programme de Surveillance et détection de virus des voies respiratoires, SDVVR
",2019-07-09 08:37:36,fr
N/A,Initiative sur les systèmes agricoles et alimentaires autochtones - Agriculture et Agroalimentaire Canada (AAC),http://www.agr.gc.ca/fra/programmes-et-services-agricoles/initiative-sur-les-systemes-agricoles-et-alimentaires-autochtones/?id=1542835055742,Links to Covid pages,,,fr
N/A,Coronavirus disease (COVID-19): Your rights and responsibilities as an employee,https://www.canada.ca/en/government/publicservice/covid-19/rights-responsibilities.html,Substantive,"Page title: Coronavirus disease (COVID-19): Your rights and responsibilities as an employee
H1: Coronavirus disease (COVID-19): Your rights and responsibilities as an employee
",2020-03-26 16:46:32,eng
N/A,SOMNIA - Pleins feux sur les nouvelles militaires,https://www.cfc.forces.gc.ca/Somnia/2020/03/16/somnia-fra.html,Links to Covid pages,,2020-03-17T00:00:00Z,fr
N/A,LSQ - Qu'est-ce qui se produit quand vous contactez le bureau de l'Ombudsman?,https://www.canada.ca/fr/ombudsman-defense-nationale-forces/information-educative/videos/contactez-bureau-ombudsman/asl-lsq.html,Links to Covid pages,,2020-02-18T00:00:00Z,fr
N/A,Questions and answers for human resources specialists: Coronavirus disease (COVID-19),https://www.canada.ca/en/public-service-commission/information-human-resources-specialists/questions-answers-human-resources-specialists.html,Substantive,"Page title: Questions and answers for human resources specialists: Coronavirus disease (COVID-19)
H1: Questions and answers for human resources specialists: Coronavirus disease (COVID-19)
",2020-03-30 11:52:52,en
Santé,"Rapport de virus des voies respiratoires, semaine 49 - se terminant le 8 décembre 2018",https://www.canada.ca/fr/sante-publique/services/surveillance/detection-virus-voies-respiratoires-canada/2018-2019/detection-isolement-virus-voies-respiratoires-semaine-49-terminant-decembre-8-2018.html,Substantive,"Keywords: Rapport de virus des voies respiratoires, Canada, détection, isolement, tests de laboratoire positifs,  virus grippal, virus respiratoire syncytial, virus parainfluenza, virus adénovirus, métapneumovirus humain, virus entérovirus, virus rhinovirus, virus coronavirus, A(H1N1)pdm09, A(H3N2), MPVh, PIV, VRS, Programme de Surveillance et détection de virus des voies respiratoires, SDVVR
",2018-12-13 13:49:38,fr
N/A,Cartier-Brébeuf National Historic Site,https://www.pc.gc.ca/en/lhn-nhs/qc/cartierbrebeuf,Links to Covid pages,,2020-03-27T00:00:00Z,en
Immigration et citoyenneté,"Les répercussions de la maladie du coronavirus (COVID-19) sur l'immigration, les réfugiés, la citoyenneté et les services de passeport : citoyenneté",https://www.canada.ca/fr/immigration-refugies-citoyennete/services/coronavirus-covid19/citoyennete.html,Substantive,"Description: Les répercussions de la maladie du coronavirus (COVID-19) sur l'immigration, les réfugiés, la citoyenneté et les services de passeport : citoyenneté
Page title: Les répercussions de la maladie du coronavirus (COVID-19) sur l'immigration, les réfugiés, la citoyenneté et les services de passeport : citoyenneté
H1: Les répercussions de la maladie du coronavirus (COVID-19) sur l'immigration, les réfugiés, la citoyenneté et les services de passeport : citoyenneté<br>

<span class=""nowrap""></span>
Keywords: coronavirus update, covid, covid 19, covid-19, covid 19 quebec, covid 19 montreal, canada covid 19, coronavirus, coronavirus symptome, cas de coronavirus, coronavirus chine, citoyenneté, demande de citoyenneté, examen pour la citoyenneté, test pour la citoyenneté, cérémonie de citoyenneté, traitement de la demande de citoyenneté
",2020-03-30 10:55:22,fr
N/A,Bulletins - Parc national Banff,https://www.pc.gc.ca/fr/pn-np/ab/banff/bulletins/5C642B6D-D654-4094-A232-D750477ED0CD,Links to Covid pages,,2018-10-25T00:00:00Z,fr
Immigration and citizenship,covid-more-plus-eng,https://www.canada.ca/en/immigration-refugees-citizenship/services/reference-include/covid-more-plus-eng.html,Substantive,"Name: covid-more-plus-eng
Page title: covid-more-plus-eng
H1: covid-more-plus-eng
",2020-03-13 16:57:33,eng
Immigration et citoyenneté,Répondants communautaires : Présenter une demande,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/refugies/aide-exterieur-canada/programme-parrainage-prive/repondants-communautaires/presenter-demande.html,Links to Covid pages,,2020-03-23T00:00:00Z,fr
Santé,CoV-SRMO – Risque pour les Canadiens,https://www.canada.ca/fr/sante-publique/services/rapports-publications/releve-maladies-transmissibles-canada-rmtc/numero-mensuel/2014-40/rmtc-volume-40-17-16-octobre-2014/rmtc-volume-40-17-16-octobre-2014-1.html,Links to Covid pages,,2014-10-07T00:00:00Z,fr
